,tenure,PhoneService,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn,TotalCharges_Tenure_Ratio
1610,51,1,730,4,60.5,3121.45,0,61.20490196078431
1613,34,1,30,2,19.7,675.6,0,19.870588235294118
1615,49,1,365,3,20.05,923.1,0,18.838775510204083
1616,53,1,730,2,19.4,1110.35,0,20.95
1617,27,1,30,1,59.45,1611.65,0,59.69074074074074
1618,23,1,30,1,94.75,2293.6,1,99.72173913043478
1620,2,0,30,3,29.05,44.75,0,22.375
1621,35,1,30,1,86.45,3029.1,1,86.54571428571428
1622,46,1,365,2,70.6,3231.05,0,70.24021739130436
1625,9,1,30,3,75.75,655.9,1,72.87777777777778
1626,20,1,30,3,59.2,1191.2,0,59.56
1627,11,1,30,2,75.9,866.4,0,78.76363636363637
1628,30,1,30,1,90.05,2627.2,0,87.57333333333332
1631,17,1,30,3,85.35,1463.45,1,86.08529411764707
1633,1,1,30,1,43.8,43.8,0,43.8
1635,3,1,365,1,69.95,220.45,0,73.48333333333333
1636,48,1,365,3,24.35,1133.7,0,23.618750000000002
1639,17,1,30,1,45.05,770.6,1,45.32941176470588
1640,7,1,365,2,20.65,134.05,0,19.150000000000002
1642,29,1,30,2,19.85,573.05,0,19.760344827586206
1643,37,1,30,1,90.35,3419.3,0,92.41351351351352
1645,42,1,30,1,84.65,3541.35,1,84.31785714285714
1646,59,1,365,2,65.5,3801.3,0,64.42881355932204
1647,11,1,30,3,79.5,868.5,1,78.95454545454545
1649,27,1,30,2,56.15,1439.35,0,53.30925925925926
1650,1,1,30,2,85.8,85.8,1,85.8
1651,1,1,30,1,79.1,79.1,1,79.1
1652,17,0,30,2,34.4,592.75,0,34.86764705882353
1653,58,1,730,2,20.75,1185.95,0,20.44741379310345
1654,1,1,365,2,18.8,18.8,0,18.8
1655,3,1,30,2,44.3,134.5,1,44.833333333333336
1657,35,1,30,1,25.6,901.25,0,25.75
1660,47,1,30,1,25.4,1139.2,0,24.238297872340425
1662,5,1,30,1,69.75,324.6,1,64.92
1665,9,1,30,1,76.85,663.55,0,73.72777777777777
1666,8,1,730,2,20.25,174.65,0,21.83125
1667,14,1,365,4,24.8,321.7,0,22.978571428571428
1669,8,1,30,4,74.6,548.9,0,68.6125
1670,1,1,30,2,50.15,50.15,1,50.15
1674,23,1,730,2,25.1,611.45,0,26.584782608695654
1675,29,1,30,1,78.9,2384.15,1,82.21206896551725
1676,4,1,30,1,80.15,319.85,0,79.9625
1677,6,1,730,2,25.4,153.3,0,25.55
1679,7,1,30,2,45.75,344.2,0,49.17142857142857
1680,56,1,365,2,24.45,1431.65,0,25.56517857142857
1683,23,1,730,4,19.6,426.65,0,18.55
1684,35,1,30,2,50.15,1655.35,0,47.29571428571428
1685,27,1,30,1,70.55,1943.9,0,71.9962962962963
1686,26,1,30,1,60.05,1616.15,1,62.159615384615385
1687,12,1,365,2,26.4,314.95,0,26.245833333333334
1688,40,1,730,2,20.15,804.85,0,20.12125
1689,7,0,30,2,58.85,465.7,0,66.52857142857142
1691,60,1,730,4,19.65,1161.75,0,19.3625
1692,39,0,365,4,25.25,947.75,0,24.30128205128205
1694,1,0,30,1,34.7,34.7,1,34.7
1695,54,1,365,1,70.7,3770.0,0,69.81481481481481
1696,3,1,30,1,85.3,264.8,1,88.26666666666667
1699,42,1,365,2,20.65,958.1,0,22.811904761904763
1700,47,1,730,3,20.45,943.0,0,20.06382978723404
1703,11,0,30,1,35.65,425.1,0,38.64545454545455
1707,3,1,30,1,73.85,196.4,0,65.46666666666667
1708,4,1,30,1,74.4,299.7,1,74.925
1709,30,1,730,4,69.1,2093.9,0,69.79666666666667
1710,5,1,30,1,82.75,417.75,0,83.55
1712,29,1,365,1,55.25,1620.2,0,55.86896551724138
1713,52,1,30,3,61.35,3169.55,0,60.95288461538462
1715,46,1,730,2,19.4,967.85,0,21.04021739130435
1716,8,1,30,4,54.75,438.05,0,54.75625
1718,17,1,365,3,19.9,323.15,0,19.008823529411764
1720,2,1,30,3,83.8,163.7,0,81.85
1721,9,1,30,4,74.25,639.65,1,71.07222222222222
1722,51,0,365,4,56.4,2928.5,0,57.42156862745098
1723,6,1,730,2,20.1,100.35,0,16.724999999999998
1724,3,1,30,1,94.9,273.2,0,91.06666666666666
1725,17,1,30,1,94.2,1608.15,0,94.59705882352942
1726,30,1,30,1,49.9,1441.95,0,48.065000000000005
1727,31,1,30,1,71.05,2168.15,0,69.94032258064516
1728,45,1,730,3,81.65,3618.7,0,80.41555555555556
1730,1,1,30,1,59.85,59.85,1,59.85
1731,1,1,30,1,69.6,69.6,1,69.6
1733,1,1,30,2,19.05,19.05,0,19.05
1734,9,0,30,1,45.4,418.8,1,46.53333333333333
1736,1,1,30,2,19.5,19.5,1,19.5
1737,7,1,30,2,44.25,313.45,0,44.778571428571425
1739,1,1,30,1,69.9,69.9,1,69.9
1740,40,1,30,3,20.4,745.3,0,18.6325
1741,16,1,30,3,71.4,1212.1,0,75.75625
1742,2,1,30,3,87.15,183.75,1,91.875
1745,56,1,730,4,19.8,1119.9,0,19.998214285714287
1747,3,1,30,3,84.75,264.85,1,88.28333333333335
1748,54,1,730,4,20.05,1102.4,0,20.414814814814818
1751,14,1,30,1,89.95,1178.4,1,84.17142857142858
1752,27,1,365,4,48.7,1421.75,0,52.657407407407405
1755,12,1,30,1,54.3,654.5,0,54.541666666666664
1756,44,1,365,3,74.85,3268.05,0,74.27386363636364
1759,20,1,30,2,19.4,415.4,0,20.77
1760,50,1,365,3,54.9,2614.1,0,52.282
1761,58,1,730,4,24.45,1513.6,0,26.096551724137928
1762,35,1,30,3,89.65,3161.6,0,90.33142857142857
1763,2,1,30,1,45.4,80.95,0,40.475
1766,27,1,365,2,20.55,583.3,0,21.6037037037037
1771,13,1,30,1,90.5,1201.15,1,92.39615384615385
1772,2,1,30,1,79.0,143.65,1,71.825
1774,1,1,30,2,48.75,48.75,0,48.75
1777,28,1,30,4,54.9,1505.15,0,53.75535714285714
1779,2,1,30,1,91.15,168.5,0,84.25
1780,18,1,365,3,20.15,390.85,1,21.71388888888889
1782,26,1,30,1,66.05,1652.4,0,63.55384615384616
1783,1,1,30,1,71.65,71.65,1,71.65
1784,4,1,30,2,20.35,77.5,1,19.375
1786,38,1,30,4,84.25,3264.5,1,85.90789473684211
1788,57,1,730,3,19.6,1134.25,0,19.899122807017545
1789,54,0,30,1,30.4,1621.35,0,30.025
1790,12,1,30,3,78.1,947.3,1,78.94166666666666
1791,44,1,365,2,61.5,2722.2,0,61.86818181818182
1792,42,1,30,3,69.4,3058.3,0,72.81666666666668
1795,19,1,30,2,89.65,1761.05,1,92.68684210526315
1796,23,1,30,4,73.65,1642.75,0,71.42391304347827
1797,30,1,730,4,19.4,578.5,0,19.283333333333335
1798,35,1,365,3,26.2,954.9,0,27.282857142857143
1800,1,1,30,3,43.85,43.85,0,43.85
1801,22,1,30,2,69.7,1490.4,0,67.74545454545455
1802,7,0,730,2,38.55,280.0,0,40.0
1803,36,0,730,2,53.1,1901.25,0,52.8125
1804,34,1,30,2,20.65,716.4,0,21.070588235294117
1806,36,1,730,4,25.1,930.95,0,25.859722222222224
1807,1,1,30,1,76.35,76.35,1,76.35
1808,23,1,30,1,79.15,1676.95,1,72.9108695652174
1809,32,1,30,1,85.0,2642.05,1,82.5640625
1811,23,1,30,2,79.35,1835.3,0,79.79565217391304
1812,17,1,365,3,96.65,1588.25,0,93.42647058823529
1813,1,1,30,1,75.5,75.5,0,75.5
1814,12,1,730,2,19.7,258.35,0,21.52916666666667
1816,1,1,30,2,19.2,19.2,0,19.2
1819,61,0,730,4,51.35,3244.4,0,53.18688524590164
1820,6,1,30,2,45.65,323.45,0,53.90833333333333
1821,32,1,30,1,85.3,2661.1,1,83.159375
1822,31,1,30,4,86.55,2697.4,1,87.01290322580645
1823,19,1,30,4,73.85,1424.5,1,74.97368421052632
1825,32,1,30,1,54.2,1739.6,0,54.3625
1827,45,0,30,3,50.9,2333.85,0,51.86333333333333
1828,42,1,365,1,25.05,949.85,0,22.61547619047619
1829,8,1,30,1,74.85,572.45,0,71.55625
1830,32,1,730,2,20.5,696.8,0,21.775
1831,22,1,30,2,63.55,1381.8,0,62.809090909090905
1832,57,0,30,1,44.85,2572.95,1,45.13947368421052
1833,1,1,30,1,47.95,47.95,0,47.95
1834,1,1,30,1,45.1,45.1,1,45.1
1835,1,1,30,1,45.0,45.0,0,45.0
1836,24,1,30,1,96.0,2122.45,1,88.43541666666665
1837,1,1,30,3,20.05,20.05,1,20.05
1839,4,1,730,4,25.3,116.95,0,29.2375
1841,56,1,365,1,24.3,1261.7,0,22.530357142857145
1842,45,1,30,1,75.95,3273.8,0,72.75111111111111
1844,59,1,365,4,66.4,3958.2,0,67.08813559322033
1846,19,1,365,2,18.8,279.2,0,14.694736842105263
1847,55,1,730,4,19.4,1083.0,0,19.69090909090909
1848,38,1,365,2,19.3,755.5,0,19.88157894736842
1849,10,1,30,1,45.55,402.6,1,40.260000000000005
1850,47,1,30,4,67.45,3252.0,0,69.19148936170212
1851,2,0,30,1,35.1,68.75,1,34.375
1852,1,1,30,4,46.2,46.2,1,46.2
1853,1,1,30,1,45.15,45.15,1,45.15
1854,1,0,30,1,43.3,43.3,1,43.3
1855,46,1,730,2,20.1,936.85,0,20.366304347826087
1856,38,1,30,4,57.15,2250.65,1,59.227631578947374
1858,19,1,30,1,73.2,1441.1,1,75.84736842105262
1861,1,1,30,2,45.95,45.95,1,45.95
1862,52,0,30,1,50.5,2566.3,0,49.35192307692308
1863,6,1,365,2,25.1,171.0,0,28.5
1864,26,1,365,2,60.7,1597.4,0,61.43846153846154
1867,3,1,30,1,83.75,247.25,1,82.41666666666667
1868,1,1,30,3,44.05,44.05,0,44.05
1870,1,1,30,2,45.55,45.55,0,45.55
1872,41,1,730,3,19.7,804.25,0,19.615853658536587
1874,43,1,730,4,86.45,3574.5,0,83.12790697674419
1878,3,1,30,4,20.75,67.1,0,22.366666666666664
1879,1,1,30,1,70.05,70.05,1,70.05
1880,2,1,30,1,86.0,165.45,1,82.725
1881,26,0,30,3,44.65,1156.55,0,44.482692307692304
1882,29,1,30,2,60.2,1834.15,0,63.24655172413794
1884,27,1,365,3,55.45,1477.65,0,54.72777777777778
1885,24,1,30,4,70.3,1706.45,0,71.10208333333334
1887,16,1,30,1,72.65,1194.3,1,74.64375
1888,23,1,365,3,55.8,1327.85,0,57.73260869565217
1889,14,0,30,2,31.1,419.7,0,29.978571428571428
1890,1,1,30,1,21.0,21.0,1,21.0
1891,1,1,30,2,45.1,45.1,1,45.1
1892,4,0,30,4,50.95,207.35,0,51.8375
1893,16,1,30,1,69.1,1083.7,0,67.73125
1894,46,0,30,1,43.95,2007.85,0,43.64891304347826
1896,38,1,30,1,69.95,2657.55,0,69.93552631578947
1897,30,1,30,3,50.4,1527.5,1,50.916666666666664
1898,5,1,30,1,78.95,378.4,1,75.67999999999999
1899,17,1,30,4,90.95,1612.2,0,94.83529411764707
1900,4,1,730,2,19.9,76.65,0,19.1625
1901,12,1,365,1,20.15,260.7,0,21.724999999999998
1903,3,1,30,1,92.0,266.8,0,88.93333333333334
1905,41,1,365,2,24.85,962.25,0,23.46951219512195
1906,40,0,365,4,36.0,1382.9,0,34.572500000000005
1907,7,1,30,1,78.5,571.05,0,81.57857142857142
1909,7,1,365,2,20.65,150.0,0,21.428571428571427
1910,5,0,30,1,30.5,167.2,0,33.44
1912,44,1,365,3,20.5,865.05,0,19.660227272727273
1914,3,1,30,1,64.6,174.2,0,58.06666666666666
1915,24,1,30,4,51.1,1269.6,0,52.9
1916,44,1,30,3,84.8,3862.55,1,87.78522727272728
1918,24,1,30,1,54.95,1348.5,0,56.1875
1919,1,1,30,2,50.9,50.9,1,50.9
1920,22,1,30,3,20.45,471.55,0,21.43409090909091
1922,25,1,30,1,60.35,1404.65,0,56.18600000000001
1923,37,1,730,3,19.8,726.1,0,19.624324324324323
1924,22,1,30,3,85.35,1961.6,0,89.16363636363636
1925,59,1,730,3,72.1,4194.85,0,71.09915254237289
1928,31,1,30,2,19.55,658.95,1,21.256451612903227
1929,1,1,30,1,81.05,81.05,0,81.05
1930,3,1,30,1,20.5,76.95,0,25.650000000000002
1932,1,1,30,2,20.2,20.2,0,20.2
1933,20,1,365,2,19.7,415.9,0,20.794999999999998
1934,3,1,30,1,79.1,246.5,1,82.16666666666667
1935,51,1,365,3,19.85,996.95,0,19.548039215686277
1936,51,1,365,3,60.5,3145.15,0,61.66960784313726
1937,13,1,730,2,19.55,265.3,0,20.407692307692308
1938,1,1,30,2,20.9,20.9,0,20.9
1939,1,1,30,2,21.05,21.05,0,21.05
1941,3,1,30,2,54.65,189.1,0,63.03333333333333
1942,46,1,730,4,19.2,908.15,0,19.742391304347827
1943,1,1,30,4,49.8,49.8,0,49.8
1944,8,0,30,2,25.5,215.2,1,26.9
1948,2,1,30,1,80.75,159.45,1,79.725
1951,14,1,30,4,50.2,668.85,0,47.775
1952,20,1,30,3,95.5,1916.2,0,95.81
1953,1,1,30,1,75.35,75.35,1,75.35
1954,1,1,30,1,75.45,75.45,1,75.45
1957,46,1,30,1,53.1,2459.8,0,53.47391304347826
1958,24,1,30,3,84.85,2048.8,0,85.36666666666667
1959,5,0,30,1,34.25,163.55,0,32.71
1960,33,1,30,4,88.6,2888.7,0,87.53636363636363
1961,42,1,365,3,60.15,2421.6,0,57.65714285714286
1963,8,1,30,3,70.7,553.4,0,69.175
1965,24,1,30,3,49.55,1210.4,1,50.43333333333334
1966,24,1,30,4,54.8,1291.3,0,53.80416666666667
1969,60,0,730,1,53.6,3237.05,0,53.950833333333335
1970,7,1,30,1,81.1,576.65,1,82.37857142857142
1971,20,1,365,4,19.35,433.75,0,21.6875
1972,23,1,30,1,85.6,1868.4,0,81.23478260869565
1974,11,1,30,1,74.95,825.7,1,75.06363636363636
1975,21,1,730,2,19.6,390.4,0,18.59047619047619
1976,1,1,30,1,93.55,93.55,1,93.55
1977,31,1,30,1,90.7,2845.15,0,91.77903225806452
1978,57,1,730,2,69.75,3894.4,0,68.32280701754387
1979,45,1,730,3,20.0,886.4,0,19.697777777777777
1980,10,1,30,1,95.25,1021.55,0,102.155
1982,14,1,30,2,19.95,268.4,0,19.17142857142857
1983,27,1,365,2,80.85,2204.35,0,81.64259259259259
1984,14,1,30,3,90.9,1259.0,1,89.92857142857143
1985,12,0,30,2,29.2,309.1,1,25.758333333333336
1987,25,1,30,3,89.15,2257.75,1,90.31
1989,35,0,730,4,46.35,1662.05,0,47.48714285714286
1990,16,1,30,1,84.75,1350.15,1,84.384375
1991,45,1,365,4,78.75,3600.65,0,80.01444444444445
1992,17,1,30,1,83.55,1329.15,0,78.18529411764706
1993,1,1,30,1,45.7,45.7,1,45.7
1994,22,1,365,2,19.6,422.5,0,19.204545454545453
1995,1,1,30,1,69.95,69.95,1,69.95
1998,2,0,30,1,44.6,97.1,1,48.55
1999,23,1,30,1,74.95,1710.45,1,74.36739130434783
2000,9,1,30,4,75.5,637.4,0,70.82222222222222
2001,5,1,30,2,20.15,117.95,0,23.59
2002,54,0,730,4,45.2,2460.55,0,45.56574074074074
2004,24,1,30,2,89.85,2165.05,1,90.21041666666667
2006,5,1,30,1,47.15,223.15,1,44.63
2007,2,1,30,1,80.2,181.1,1,90.55
2008,4,1,30,2,87.1,341.45,1,85.3625
2010,5,1,30,3,75.9,357.75,1,71.55
2013,31,1,365,4,20.1,589.25,0,19.008064516129032
2014,13,1,30,3,61.8,750.1,0,57.7
2015,28,1,30,2,49.9,1410.25,0,50.36607142857143
2016,10,1,30,1,86.45,830.85,1,83.08500000000001
2017,38,1,730,3,20.4,743.5,0,19.56578947368421
2018,1,1,30,2,45.3,45.3,1,45.3
2020,52,1,365,2,75.4,3865.45,0,74.33557692307691
2022,16,1,30,1,86.25,1340.1,0,83.75625
2023,5,1,30,1,81.0,371.65,1,74.33
2024,12,1,365,1,95.7,1184.0,0,98.66666666666667
2027,24,1,365,2,20.15,456.85,0,19.035416666666666
2028,15,1,730,2,19.6,331.6,0,22.10666666666667
2030,2,1,30,3,60.95,134.6,0,67.3
2031,5,0,30,2,25.05,125.5,0,25.1
2032,15,1,30,1,88.15,1390.6,1,92.70666666666666
2033,1,1,30,2,20.2,20.2,1,20.2
2034,41,1,365,3,60.3,2511.3,0,61.25121951219513
2035,43,1,30,1,63.95,2737.05,0,63.65232558139535
2036,1,1,30,1,74.3,74.3,0,74.3
2037,1,1,30,2,70.6,70.6,0,70.6
2038,26,1,30,1,90.8,2361.8,1,90.83846153846154
2039,22,1,30,1,79.35,1730.35,1,78.65227272727272
2041,7,1,730,2,19.45,165.35,0,23.62142857142857
2042,28,1,30,3,64.45,1867.6,0,66.7
2043,16,1,30,1,69.65,1043.3,0,65.20625
2044,7,1,365,2,19.5,128.6,0,18.37142857142857
2046,1,0,30,2,24.7,24.7,0,24.7
2047,3,1,30,1,77.4,206.15,0,68.71666666666667
2048,21,1,30,3,96.8,2030.3,1,96.68095238095238
2053,47,1,30,3,83.35,4065.0,1,86.48936170212765
2054,2,1,30,1,49.4,106.55,1,53.275
2056,51,1,30,3,81.0,4085.75,0,80.11274509803921
2057,22,1,30,1,79.2,1742.75,1,79.2159090909091
2059,37,1,30,1,92.95,3415.25,0,92.30405405405405
2061,7,1,30,1,48.7,340.25,1,48.607142857142854
2063,51,1,365,3,76.4,3966.3,0,77.77058823529413
2064,30,1,365,3,19.55,608.5,0,20.283333333333335
2065,34,1,30,1,85.35,2896.6,0,85.19411764705882
2069,1,1,30,1,95.6,95.6,1,95.6
2070,49,1,30,4,59.75,2934.3,1,59.88367346938776
2072,39,1,365,3,19.35,779.2,0,19.97948717948718
2073,14,1,30,2,19.9,283.75,0,20.267857142857142
2076,14,1,365,4,59.1,772.85,0,55.20357142857143
2077,1,1,30,1,71.35,71.35,1,71.35
2078,16,1,365,2,55.85,857.8,0,53.6125
2081,23,1,30,4,75.3,1702.9,0,74.0391304347826
2082,21,1,30,2,24.7,467.15,0,22.245238095238093
2083,1,1,30,2,20.15,20.15,1,20.15
2084,1,1,30,3,69.75,69.75,1,69.75
2085,32,1,30,1,93.2,2931.0,1,91.59375
2086,17,1,30,1,80.85,1400.85,1,82.40294117647058
2087,4,0,30,1,33.65,137.85,1,34.4625
2088,36,1,365,1,55.8,1941.5,0,53.93055555555556
2089,50,0,730,4,39.7,1932.75,0,38.655
2090,48,0,30,4,29.5,1423.05,0,29.646874999999998
2091,50,1,730,4,20.15,970.85,0,19.417
2093,10,1,30,4,24.8,223.9,0,22.39
2094,18,1,30,2,19.65,391.7,0,21.76111111111111
2095,1,1,30,1,79.95,79.95,1,79.95
2096,1,1,30,1,19.3,19.3,1,19.3
2097,9,1,30,1,94.05,811.65,0,90.18333333333334
2098,2,1,30,2,90.75,174.75,0,87.375
2099,40,1,30,4,78.85,3126.85,0,78.17125
2102,18,1,30,4,80.55,1406.65,0,78.14722222222223
2103,11,1,30,1,70.2,834.7,0,75.88181818181819
2104,8,1,30,4,85.2,627.4,1,78.425
2105,3,1,30,1,75.25,242.0,1,80.66666666666667
2106,55,1,365,4,59.45,3157.0,0,57.4
2107,33,1,30,1,93.35,3092.0,0,93.6969696969697
2108,46,1,30,3,44.95,2168.9,0,47.15
2109,34,1,730,3,26.1,980.35,0,28.833823529411767
2110,3,1,30,1,20.2,65.95,0,21.983333333333334
2111,30,1,730,2,21.25,711.9,0,23.73
2112,33,1,365,1,59.4,1952.8,0,59.17575757575757
2114,40,1,30,2,61.9,2647.1,0,66.1775
2116,1,1,30,1,54.35,54.35,1,54.35
2118,22,1,30,1,80.15,1790.65,0,81.39318181818182
2119,46,1,365,3,20.2,845.6,0,18.382608695652173
2120,55,1,730,2,21.0,1210.3,0,22.005454545454544
2121,1,1,30,2,20.45,20.45,0,20.45
2122,12,1,365,2,75.85,854.45,0,71.20416666666667
2123,31,1,30,1,80.45,2429.1,0,78.35806451612903
2124,5,0,30,1,24.95,100.4,1,20.080000000000002
2126,1,1,30,2,44.45,44.45,0,44.45
2127,40,0,365,1,42.35,1716.45,1,42.91125
2128,41,1,30,4,74.55,3023.55,0,73.74512195121952
2129,1,1,30,1,75.3,75.3,1,75.3
2131,42,0,730,4,48.15,2032.3,0,48.38809523809524
2132,23,1,365,2,19.65,436.9,0,18.995652173913044
2133,1,1,30,1,70.55,70.55,1,70.55
2134,1,1,30,2,20.15,20.15,0,20.15
2136,15,1,30,1,91.0,1430.05,0,95.33666666666666
2137,12,1,730,3,25.4,313.0,0,26.083333333333332
2138,54,1,730,3,69.95,3871.85,0,71.70092592592593
2139,7,1,30,1,66.85,458.1,0,65.44285714285715
2140,33,1,30,4,86.15,2745.7,1,83.2030303030303
2141,16,1,30,1,20.15,341.35,0,21.334375
2142,21,1,365,2,64.85,1336.8,0,63.65714285714286
2143,30,1,730,1,74.85,2181.75,0,72.725
2144,3,1,30,2,50.5,147.75,0,49.25
2145,11,1,30,1,72.9,818.45,0,74.40454545454546
2147,18,1,30,1,19.0,348.8,0,19.37777777777778
2148,6,1,30,2,19.55,128.6,0,21.433333333333334
2150,21,1,30,1,84.1,1737.45,0,82.7357142857143
2152,1,1,30,1,50.1,50.1,0,50.1
2153,25,1,30,1,74.6,1797.75,0,71.91
2154,24,1,730,2,19.75,498.1,0,20.754166666666666
2155,30,1,30,1,85.0,2624.25,1,87.475
2156,2,1,30,1,80.55,184.1,1,92.05
2159,15,1,730,3,25.05,369.1,0,24.60666666666667
2161,2,1,30,1,75.8,160.75,1,80.375
2162,28,1,30,4,96.6,2684.35,0,95.86964285714285
2165,13,1,365,2,20.2,273.25,0,21.01923076923077
2167,13,1,30,1,95.25,1233.65,1,94.89615384615385
2168,7,1,30,2,74.4,527.9,1,75.41428571428571
2170,21,1,365,1,60.25,1258.35,0,59.921428571428564
2171,2,1,30,1,60.85,111.4,0,55.7
2172,1,1,30,4,43.95,43.95,0,43.95
2173,4,1,30,1,86.05,308.1,0,77.025
2174,19,1,365,4,20.25,383.65,0,20.192105263157895
2175,30,1,30,1,85.15,2555.9,1,85.19666666666667
2178,53,1,730,4,19.9,1110.05,0,20.944339622641508
2179,5,1,365,1,19.55,99.6,0,19.919999999999998
2181,50,1,365,4,84.15,4164.4,0,83.288
2183,2,1,30,4,50.2,109.25,0,54.625
2184,2,1,30,1,88.55,179.25,1,89.625
2185,24,1,30,1,54.75,1338.15,1,55.75625
2186,46,1,730,4,19.95,862.4,0,18.747826086956522
2188,29,0,30,1,31.2,926.2,0,31.93793103448276
2191,1,1,30,1,91.3,91.3,1,91.3
2193,56,1,365,2,21.2,1238.65,0,22.118750000000002
2194,1,1,30,1,79.5,79.5,1,79.5
2195,28,1,365,2,25.55,672.2,0,24.00714285714286
2196,19,1,30,2,20.2,382.2,0,20.11578947368421
2198,17,1,365,2,61.95,1070.7,0,62.98235294117647
2199,52,1,730,2,25.75,1345.85,0,25.881730769230767
2200,19,1,365,1,58.2,1045.25,0,55.01315789473684
2201,36,1,365,3,85.85,3003.55,0,83.43194444444445
2202,7,1,30,2,70.1,467.55,1,66.79285714285714
2207,7,1,30,1,86.25,587.1,1,83.87142857142858
2209,8,1,30,3,19.55,161.15,0,20.14375
2212,10,1,365,2,19.5,225.85,0,22.585
2213,12,1,730,4,25.25,274.7,0,22.891666666666666
2214,14,1,30,1,86.3,1180.95,1,84.35357142857143
2219,20,1,30,1,89.95,1648.45,0,82.4225
2223,28,1,30,1,89.95,2625.55,1,93.76964285714287
2224,17,1,30,1,76.45,1233.4,1,72.5529411764706
2225,33,0,365,1,39.1,1309.0,0,39.666666666666664
2226,23,0,730,2,34.6,813.45,0,35.36739130434783
2227,58,1,365,1,19.55,1108.8,0,19.117241379310343
2229,4,1,30,1,70.5,294.2,0,73.55
2230,45,1,730,2,20.35,929.2,0,20.64888888888889
2231,10,1,30,1,70.0,740.0,1,74.0
2232,36,1,730,4,19.45,754.5,0,20.958333333333332
2233,54,1,30,2,69.9,3883.3,0,71.91296296296296
2234,23,1,730,2,59.7,1414.2,0,61.48695652173913
2235,41,1,365,4,78.35,3211.2,0,78.32195121951219
2236,5,1,30,2,71.45,371.6,0,74.32000000000001
2237,27,0,365,4,45.85,1246.4,0,46.162962962962965
2238,1,1,30,1,95.85,95.85,0,95.85
2241,56,1,730,4,24.95,1468.9,0,26.230357142857144
2242,44,1,365,1,24.85,1013.6,0,23.036363636363635
2244,34,1,365,2,64.4,2088.75,1,61.43382352941177
2247,40,1,730,4,19.65,830.25,0,20.75625
2248,30,1,30,3,54.45,1588.7,0,52.95666666666667
2249,11,1,30,2,70.5,829.3,0,75.39090909090909
2250,15,1,365,4,20.1,302.45,0,20.163333333333334
2251,11,1,30,1,69.35,712.25,0,64.75
2255,1,1,30,2,51.2,51.2,0,51.2
2256,15,1,365,4,65.6,1010.0,0,67.33333333333333
2258,56,1,365,2,52.7,3019.7,0,53.92321428571428
2259,8,1,730,2,20.85,161.65,0,20.20625
2260,3,1,30,4,80.1,217.55,1,72.51666666666667
2261,49,1,30,4,52.15,2583.75,0,52.72959183673469
2262,2,1,30,1,80.2,146.05,1,73.025
2268,40,1,730,3,20.6,827.3,0,20.682499999999997
2269,1,1,30,2,70.9,70.9,1,70.9
2270,3,1,30,1,86.85,220.95,1,73.64999999999999
2271,40,1,30,1,91.55,3673.6,0,91.84
2272,1,1,30,1,49.85,49.85,0,49.85
2273,30,1,365,4,19.8,576.65,0,19.221666666666668
2275,1,1,30,1,74.5,74.5,1,74.5
2278,7,1,30,1,48.2,340.35,0,48.621428571428574
2281,16,1,30,4,65.2,1043.35,1,65.209375
2283,1,1,30,2,71.55,71.55,1,71.55
2284,3,1,30,2,55.9,157.55,0,52.51666666666667
2286,8,1,30,4,64.4,581.7,0,72.7125
2288,5,1,30,2,85.3,420.45,0,84.09
2290,13,0,30,3,48.75,633.4,1,48.723076923076924
2291,4,1,30,1,85.65,321.65,1,80.4125
2295,1,0,30,1,25.15,25.15,1,25.15
2296,1,1,30,1,45.2,45.2,0,45.2
2299,48,1,730,4,55.5,2627.35,0,54.73645833333333
2301,8,1,30,1,90.25,743.75,0,92.96875
2303,2,1,30,1,47.8,92.45,1,46.225
2305,34,1,30,3,97.7,3410.0,0,100.29411764705883
2306,3,1,30,1,69.85,199.85,0,66.61666666666666
2307,9,1,365,2,65.6,593.3,0,65.92222222222222
2312,18,1,365,2,20.1,401.85,0,22.325000000000003
2315,35,1,365,3,73.45,2661.1,0,76.03142857142856
2316,4,1,30,2,20.7,73.05,0,18.2625
2317,49,1,730,2,25.25,1211.65,0,24.727551020408164
2319,11,1,30,1,90.6,1020.2,0,92.74545454545455
2322,49,1,730,4,20.45,1024.65,0,20.91122448979592
2324,15,1,30,1,83.05,1258.3,1,83.88666666666667
2325,4,1,30,1,19.95,82.9,0,20.725
2327,26,1,30,4,85.7,2067.0,0,79.5
2330,28,1,30,1,64.4,1802.15,0,64.3625
2331,25,1,365,2,26.8,733.55,0,29.342
2332,47,1,365,4,66.05,3021.45,0,64.28617021276595
2333,57,1,30,3,65.2,3687.85,0,64.69912280701755
2334,16,1,30,4,85.05,1391.15,0,86.946875
2335,5,1,30,2,55.8,274.35,0,54.870000000000005
2336,17,1,30,3,70.4,1214.05,1,71.41470588235293
2339,21,1,30,1,94.25,1973.75,1,93.98809523809524
2340,48,0,365,4,45.0,2196.3,0,45.75625
2343,3,1,30,2,46.1,130.15,0,43.38333333333333
2344,14,0,730,2,39.7,692.35,0,49.45357142857143
2345,4,1,30,3,20.05,85.5,0,21.375
2347,8,1,365,2,24.4,203.95,0,25.49375
2348,61,0,30,3,33.6,2117.2,0,34.708196721311474
2350,5,1,30,1,84.0,424.75,0,84.95
2351,49,1,730,3,67.4,3306.85,0,67.48673469387755
